;Simul;Mean;Scale;# Aval;# Coal;# Plan;TotCoals;St. Lack;End Lack;St. Well;End Well
1;5;15;1,875;44;0,133333333;1;1;81;77;0,891333333;0,728
1;6;15;1,875;30;0,2;1;1;45;44;0,943333333;0,89
1;7;15;1,875;20;0,333333333;1;3;26;23;0,962;0,815333333
1;8;15;1,875;39;0,133333333;1;2;96;96;0,875333333;0,744
1;9;15;1,875;53;0,2;1;2;123;123;0,842;0,747333333
1;10;15;1,875;30;0,266666667;1;3;73;59;0,902;0,81
1;1;15;2,25;102;0,333333333;1;3;264;260;0,724;0,529333333
1;2;15;2,25;70;0;1;0;241;241;0,738666667;0,625333333
1;3;15;2,25;59;0,333333333;1;4;287;286;0,725333333;0,603333333
1;4;15;2,25;41;0,466666667;1;3;156;150;0,846;0,705333333
1;5;15;2,25;74;0,133333333;1;1;250;249;0,751333333;0,535333333
1;6;15;2,25;63;0,266666667;1;2;165;163;0,826;0,691333333
1;7;15;2,25;73;0,133333333;1;1;248;248;0,751333333;0,569333333
1;8;15;2,25;72;0,066666667;1;1;197;197;0,792;0,721333333
1;9;15;2,25;59;0,066666667;1;1;127;127;0,862;0,788
1;10;15;2,25;77;0;1;0;230;230;0,755333333;0,753333333
