1,Rc,0,0,5,9,0,7
1,Rc,1,12,2,0,13,7
1,Rc,2,12,9,0,19,8
1,Rc,3,10,14,9,0,11
1,Rc,4,0,11,0,13,0
1,Rc,5,0,6,11,14,4
1,Rc,6,0,12,0,2,0
1,Rc,7,10,7,12,14,0
1,Rc,8,13,8,8,0,0
1,Rc,9,16,6,6,0,11
1,RcPi,0,7,0,0,9,0
1,RcPi,1,0,0,9,0,0
1,RcPi,2,0,0,6,0,0
1,RcPi,3,0,0,0,9,0
1,RcPi,4,10,0,6,0,8
1,RcPi,5,2,0,0,0,0
1,RcPi,6,4,0,2,0,4
1,RcPi,7,0,0,0,0,1
1,RcPi,8,0,0,0,10,8
1,RcPi,9,0,0,0,5,0
2,Rc,0,0,4,7,0,10
2,Rc,1,14,0,0,0,10
2,Rc,2,0,13,18,15,6
2,Rc,3,11,3,13,0,9
2,Rc,4,9,0,0,0,8
2,Rc,5,0,8,7,8,10
2,Rc,6,8,0,13,12,0
2,Rc,7,11,7,7,13,0
2,Rc,8,0,8,0,6,0
2,Rc,9,0,9,2,9,0
2,RcPi,0,7,0,0,11,0
2,RcPi,1,0,6,7,4,0
2,RcPi,2,5,0,0,0,0
2,RcPi,3,0,0,0,1,0
2,RcPi,4,0,6,15,6,0
2,RcPi,5,2,0,0,0,0
2,RcPi,6,0,8,0,0,12
2,RcPi,7,0,0,0,0,5
2,RcPi,8,9,0,11,0,16
2,RcPi,9,11,0,0,0,3
1,Rc,0,11,0,13,9,0
1,Rc,1,10,0,12,14,5
1,Rc,2,8,9,9,9,0
1,Rc,3,7,0,0,0,7
1,Rc,4,0,8,11,9,5
1,Rc,5,12,11,0,8,10
1,Rc,6,0,5,8,0,0
1,Rc,7,0,11,10,14,9
1,Rc,8,11,0,0,12,10
1,Rc,9,0,8,9,13,8
1,RcPi,0,0,8,0,0,7
1,RcPi,1,0,4,0,0,0
1,RcPi,2,0,0,0,0,8
1,RcPi,3,0,8,9,3,0
1,RcPi,4,8,0,0,0,0
1,RcPi,5,0,0,10,0,0
1,RcPi,6,4,0,0,4,10
1,RcPi,7,6,0,0,0,0
1,RcPi,8,0,8,14,0,0
1,RcPi,9,11,0,0,0,0
2,Rc,0,12,6,0,13,11
2,Rc,1,12,4,11,12,0
2,Rc,2,9,9,11,0,14
2,Rc,3,14,0,8,9,14
2,Rc,4,4,9,0,7,11
2,Rc,5,0,7,9,8,0
2,Rc,6,12,0,0,0,11
2,Rc,7,12,3,0,0,14
2,Rc,8,10,14,15,6,0
2,Rc,9,0,0,9,10,17
2,RcPi,0,0,0,11,0,0
2,RcPi,1,0,0,0,0,12
2,RcPi,2,0,0,0,10,0
2,RcPi,3,0,6,0,0,0
2,RcPi,4,0,0,5,0,0
2,RcPi,5,2,0,0,0,11
2,RcPi,6,0,3,6,11,0
2,RcPi,7,0,0,9,8,0
2,RcPi,8,0,0,0,0,6
2,RcPi,9,11,10,0,0,0
3,Rc,0,10,0,7,13,11
3,Rc,1,8,9,0,8,13
3,Rc,2,10,12,10,0,7
3,Rc,3,0,8,16,7,0
3,Rc,4,11,11,10,13,0
3,Rc,5,1,11,9,0,14
3,Rc,6,0,9,0,13,3
3,Rc,7,9,0,10,0,0
3,Rc,8,0,7,13,0,10
3,Rc,9,0,9,9,0,11
3,RcPi,0,0,4,0,0,0
3,RcPi,1,0,0,6,0,0
3,RcPi,2,0,0,0,6,0
3,RcPi,3,10,0,0,0,6
3,RcPi,4,0,0,0,0,13
3,RcPi,5,0,0,0,11,0
3,RcPi,6,4,0,10,0,0
3,RcPi,7,0,12,0,7,0
3,RcPi,8,9,0,0,6,0
3,RcPi,9,11,0,0,3,0
1,Rc,0,9,0,5,0,8
1,Rc,1,11,6,8,0,0
1,Rc,2,1,16,0,6,13
1,Rc,3,11,0,10,9,7
1,Rc,4,11,0,0,5,12
1,Rc,5,0,0,0,8,0
